"Ano";"Mes";"cnae_subclasse";"Consumo_ACL_MWh";"Consumo_Total_MWh";"Qtd_Parcelas_Distintas";"Qtd_CNPJs_Distintos"
2024;4;"2451";86223,253028;86223,253028;63;62
2024;5;"2451";187054,769103;187054,769103;149;144
2024;6;"2451";179146,998305;179146,998305;149;144
2024;7;"2451";191516,642403;191516,642403;149;144
2024;8;"2451";190130,519809;190130,519809;149;144
2024;9;"2451";180879,408839;180879,408839;150;145
2024;10;"2451";195112,93723;195112,93723;151;146
2024;11;"2451";180302,362185;180302,362185;153;148
2024;12;"2451";137056,486691;137056,486691;155;150
2025;1;"2451";173348,784284;173348,784284;155;150
2025;2;"2451";181108,487574;181108,487574;156;150
2025;3;"2451";189573,559955;189573,559955;156;150
2025;4;"2451";180013,21763;180013,21763;157;150
2025;5;"2451";190419,045409;190419,045409;157;150
2025;6;"2451";178272,499921;178272,499921;157;150
2025;7;"2451";184557,606566;184557,606566;155;148
2025;8;"2451";179230,353399;179230,353399;154;147
2025;9;"2451";173501,390366;173501,390366;153;147
2025;10;"2451";181555,061418;181555,061418;153;147
2025;11;"2451";163262,159218;163262,159218;153;147
2025;12;"2451";120170,518212;120170,518212;153;147
2026;1;"2451";157021,055076;157021,055076;152;146
2026;2;"2451";162252,274801;162252,274801;153;147
2026;3;"2451";183416,782737;183416,782737;153;147
2026;4;"2451";170318,011664;170318,011664;153;147
2026;5;"2451";171713,647625;171713,647625;153;147
