"ano";"numero_unidades_locais";"pessoal_ocupado";"salarios_retiradas";"encargos_sociais_beneficios";"total_receitas_liquidas";"receita_liquida_industrial";"total_custos_despesas";"custos_operacoes_industriais";"consumo_materias_primas";"vbpi";"vti"
2007;1124;46270;776511;329583;4547344;4506131;4289185;2516706;1922662;4776305;2259599
2008;1145;48754;903574;407112;5791578;5751375;5724727;3526921;2683179;6129211;2602290
2009;1245;46363;874141;400805;5019357;4932450;4796200;2702640;1973332;5125000;2422360
2010;1314;52043;1058756;469573;5761214;5647203;5666327;3279503;2516567;6037382;2757879
2011;1190;49943;1159562;513852;6085698;5936214;5788093;3233424;2477957;6073211;2839787
2012;969;45486;1112109;478518;5533336;5329247;5422677;2920619;2198775;5515415;2594796
2013;1118;46131;1265280;455178;6107273;6045345;5937966;3312656;2483597;6233632;2920976
2014;1117;41431;1205820;463080;5597959;5545810;5734431;3078256;2274740;5776013;2697757
2015;935;32499;1064836;396860;4698334;4608882;4809160;2440395;1719478;4814006;2373611
2016;956;31088;1004298;369770;4762401;4658595;4760725;2596577;1944116;4750018;2153441
2017;870;30247;1036237;399138;5349461;5094201;5373883;2908933;2256273;5278113;2369180
2018;816;29923;1022550;383521;6005308;5765198;5995035;3673613;2934555;5973957;2300344
2019;748;28809;1075015;446706;6362833;6162728;6014895;3543408;2731829;6288893;2745485
2020;785;29100;953271;391153;6530288;6298295;6116475;3915591;3164745;6500640;2585049
2021;766;30761;1332529;557330;11346625;10668307;10836655;7350006;6206421;11148540;3798534
2022;762;31882;1558027;650131;12990709;12566942;11986280;8092360;6715866;12834467;4742107
2023;757;30250;1592643;678306;12166203;12029320;10574477;6759043;5461492;12153458;5394416
