"ano";"numero_empresas";"pessoal_ocupado";"custos_despesas_totais";"gastos_pessoal_total";"salarios_retiradas_remuneracoes";"receita_liquida_total";"receita_liquida_industrial";"custos_operacoes_industriais";"consumo_materias_primas";"vbpi";"vti"
2007;2915;227862;113429900;10450872;6962598;121117991;119552249;72597719;56184216;120432372;47834654
2008;2843;238158;150677884;12242293;8086103;141118305;139481758;85553935;64139387;143939182;58385247
2009;2986;221433;111418989;11899687;7767428;103445387;101613306;63641458;44990604;99241981;35600523
2010;3261;244209;130748226;13571770;9097198;125228015;122882854;80211604;56534613;126342097;46130493
2011;2850;244167;156627908;15264832;10089271;133520380;130763369;89528033;66941303;132369515;42841482
2012;3243;251496;163785046;17024028;10960785;140170046;136278861;92653988;70678594;136641888;43987900
2013;2997;258421;177301250;18983356;12312415;160014731;156241211;103127636;78348191;156727787;53600152
2014;3306;252686;183308421;20264622;12978508;167022712;162656207;107587295;83076498;164504638;56917342
2015;2704;213918;217941658;19498091;12167308;166888986;160062391;105194482;80126495;160612046;55417563
2016;2842;204012;182822778;19447985;12020036;156598587;149911397;97133232;73670889;149585386;52452153
2017;2600;206201;195764382;19517898;12424957;178759756;171729253;114857189;89921259;173691382;58834193
2018;2803;216033;247605480;20722475;13134828;232764300;224013687;149644346;121115704;229629995;79985649
2019;2662;217594;249631212;21288205;13331284;233764194;225079027;154162751;121812250;224797447;70634696
2020;2539;222016;281332772;20945301;13071433;257635751;249785904;164330007;133324753;251961949;87631942
2021;2910;236050;408289693;24205502;15196352;439147051;426382997;281034442;236429173;443189155;162154712
2022;2755;244249;463541774;27691729;17373063;458933468;445640757;313553415;260233469;450566324;137012908
2023;2517;246069;424681769;30303912;18503345;403699243;392546496;278448283;221451079;388893333;110445050
